8185,4823,7283,3297,7243,4652,3163,9082,8516,5239,1314,1563,7671,7143,8144,9080,2088,5351,7418,2311,5387,9144,
1087,9189,4176,5879,3874,3352,1608,5553,1043,7246,164,9584,6069,8938,8878,8204,7596,7689,8855,7597,452,6478,
6287,7446,7346,5063,3804,463,8194,4131,8460,4319,7717,7462,991,5500,1378,1153,2239,8143,9503,8848,9975,9623,
9812,4300,3239,6330,520,4528,2443,7038,6229,8965,8108,8309,6885,4149,5626,3927,7188,2444,3257,7055,8874,7189,
4726,5003,2034,9878,4929,6878,402,632,5369,2421,357,7191,7232,8530,9995,8702,7449,5674,7641,4513,7636,768,
6064,8374,1978,9127,6523,2613,853,6112,8119,9576,9708,3898,3537,9178,7030,4082,9682,2614,9699,7423,8875,561,
5751,6078,200,6039,9329,1252,4281,1902,5892,5673,6245,6754,1717,959,180,9639,4650,5299,8147,8409,7250,3759,
4198,866,8663,514,8208,4356,526,4572,6649,4204,7970,3732,3620,3689,2811,7776,7625,736,803,6387,8588,7095,
6597,5872,8066,6462,2091,1751,3744,3262,4319,2328,1208,4574,3702,2887,8880,3923,3912,8890,1751,9249,4296,6513,
2760,9367,2871,9533,4178,9603,9953,6396,6206,5139,9691,5315,5012,7070,1540,3671,4784,685,724,2970,9782,6813,
4632,1524,7790,3322,2577,8126,2150,4440,8960,2606,6103,5112,242,8514,5704,8757,1080,5259,7556,9099,4544,3147,
1117,2215,5483,736,312,1065,6707,4110,5100,1808,9453,4020,723,4252,6669,4188,9191,6567,1584,3134,947,3289,
3659,5230,1777,3296,4769,5694,328,6843,1564,1709,2093,4777,5695,6474,6289,4927,9544,4707,8898,7746,631,5347,
8726,4355,1574,7656,4666,880,4394,585,6629,2073,5285,795,9673,5671,8243,6929,2748,7558,121,7034,8422,2527,
8090,6241,8756,5645,8099,1605,8284,5519,4843,4749,8579,5743,2551,3434,900,7048,254,9614,7036,3141,2026,5080,
1249,7163,3676,1456,2309,8217,2788,492,8507,4053,5729,3321,2567,7728,9377,3026,1811,1934,2816,3950,9036,1628,
2590,1893,8932,9841,8648,8139,6044,4108,3311,5268,624,5299,8750,547,5793,4127,2677,8761,2231,6087,8114,372,
4435,5482,6459,4655,4020,5658,4274,7649,665,3766,4676,8128,9354,1270,8796,7300,8000,3439,302,4718,6004,587,
3763,398,118,6323,6497,6808,6451,6901,7445,490,7845,2206,3258,7307,3354,8721,637,4758,5147,4435,8010,9782,
9738,7663,5143,5385,2633,4919,8234,9152,6954,2859,8590,7736,8239,2416,3544,2758,4604,8072,6902,2256,1755,8426,
1492,3033,2071,1312,7790,6030,3145,4901,7961,3131,9723,512,6743,6742,779,5716,5704,3656,2144,854,8273,9145,
1536,4988,8427,3594,6931,5264,3154,8775,9535,3982,2851,5884,1300,1721,6070,5541,6853,4917,1688,3721,7308,4183,
